"alpha","lambda","deviance"
0.1,0.0900819762607975,0.754425253750376
1,0.0277945707849297,0.475374421547542
0.1,0.197283089759766,0.84267874625663
0.7,0.0507979389288537,0.774586567708079
0.65,0.0126913556994469,0.553350502576257
0.95,0.0492892018539146,1.05442124846886
1,0.0608712089877158,0.939510324887443
0.1,0.082291501656317,0.806818570049876
0.45,0.0286453595550447,0.748727070728283
0.35,0.0900819762607975,0.898992287500888
0.9,0.0134802090788666,0.536387061074639
0.1,0.197283089759766,0.8966242539659
0.25,0.137390969829912,0.928101404056239
0.55,0.169675184887932,1.01480606340798
1,0.0218376310364623,0.626209970110127
0.7,0.0364593335459814,0.551660762447889
0.1,0.17486892372948,0.79378317801362
0.55,0.0286453595550447,0.662909204307529
0.1,0.22938308587002,0.98995958066969
0.7,0.0590632881993397,0.766032312018738
0.1,0.0874064736669068,0.771499922978609
1,0.11465482961254,0.908375126734468
0.7,0.0450265702903446,0.722313886450412
0.9,0.00737582337667228,0.401954108977831
0.65,0.0231949871337613,0.542933611119934
0.1,0.0986099692400979,0.85440318651232
1,0.0646547652961579,0.834108017445103
0.75,0.0123144128691125,0.712584664999159
1,0.0874064736669068,0.908224810598589
0.95,0.0152080612207607,0.764876792905278
